unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1526364000,2018-05-15 06:00:00,ETH/USD,732.1,736.67,730.94,733.0,766208.66,1043.91
1526378400,2018-05-15 10:00:00,ETH/USD,727.32,739.37,725.04,733.59,1424387.9,1943.15
1526392800,2018-05-15 14:00:00,ETH/USD,728.96,729.42,708.87,711.86,1985400.91,2772.44
1526407200,2018-05-15 18:00:00,ETH/USD,717.18,717.2,707.83,712.39,905331.26,1272.49
1526421600,2018-05-15 22:00:00,ETH/USD,707.84,711.29,695.74,700.99,722734.02,1029.83
1526436000,2018-05-16 02:00:00,ETH/USD,692.87,692.99,675.51,681.36,1517460.1,2223.96
1526450400,2018-05-16 06:00:00,ETH/USD,684.28,688.78,682.65,686.67,381753.03,556.14
1526464800,2018-05-16 10:00:00,ETH/USD,692.3,708.62,692.3,702.61,1519575.34,2173.23
1526479200,2018-05-16 14:00:00,ETH/USD,683.74,694.51,683.66,691.91,647846.94,939.76
1526493600,2018-05-16 18:00:00,ETH/USD,693.53,702.84,693.42,696.72,822737.36,1175.46
1526508000,2018-05-16 22:00:00,ETH/USD,693.6,704.49,693.6,700.31,190409.37,271.53
1526522400,2018-05-17 02:00:00,ETH/USD,712.86,715.77,710.46,713.09,2276397.71,3187.98
1526536800,2018-05-17 06:00:00,ETH/USD,710.27,712.15,706.45,706.45,776394.55,1095.31
1526551200,2018-05-17 10:00:00,ETH/USD,701.62,702.6,695.07,699.03,2045252.98,2925.43
1526565600,2018-05-17 14:00:00,ETH/USD,701.0,706.52,700.99,705.1,550722.59,781.57
1526580000,2018-05-17 18:00:00,ETH/USD,691.83,691.83,677.98,681.46,1462427.38,2141.69
1526594400,2018-05-17 22:00:00,ETH/USD,678.96,678.96,660.65,671.52,2789191.99,4184.55
1526608800,2018-05-18 02:00:00,ETH/USD,665.98,672.54,663.7,669.16,608133.27,909.64
1526623200,2018-05-18 06:00:00,ETH/USD,674.85,675.02,667.0,667.99,388945.68,579.15
1526637600,2018-05-18 10:00:00,ETH/USD,680.99,684.0,679.32,682.46,402091.6,589.34
1526652000,2018-05-18 14:00:00,ETH/USD,676.69,676.69,666.78,671.99,418094.27,621.66
1526666400,2018-05-18 18:00:00,ETH/USD,678.79,687.99,676.2,686.93,452371.02,662.62
1526680800,2018-05-18 22:00:00,ETH/USD,689.32,691.98,687.23,691.57,64466.0,93.39
1526695200,2018-05-19 02:00:00,ETH/USD,686.99,690.0,685.06,688.22,368509.9,534.29
1526709600,2018-05-19 06:00:00,ETH/USD,691.59,693.5,688.1,689.48,98965.35,143.37
1526724000,2018-05-19 10:00:00,ETH/USD,690.52,696.46,689.64,694.97,280455.66,403.57
1526738400,2018-05-19 14:00:00,ETH/USD,704.66,708.13,704.28,706.14,230638.18,326.72
1526752800,2018-05-19 18:00:00,ETH/USD,702.62,704.71,700.33,701.74,176005.21,250.72
1526767200,2018-05-19 22:00:00,ETH/USD,690.08,696.02,683.55,691.31,169840.39,246.29
1526781600,2018-05-20 02:00:00,ETH/USD,694.99,707.15,694.99,706.1,330251.14,471.2
1526796000,2018-05-20 06:00:00,ETH/USD,704.99,706.25,701.96,704.64,178472.61,253.53
1526810400,2018-05-20 10:00:00,ETH/USD,712.96,716.9,712.56,714.62,355323.72,496.91
1526824800,2018-05-20 14:00:00,ETH/USD,709.0,711.86,708.5,709.8,131408.12,185.04
1526839200,2018-05-20 18:00:00,ETH/USD,719.71,723.16,719.56,723.16,407243.92,564.06
1526853600,2018-05-20 22:00:00,ETH/USD,719.0,719.97,710.74,712.94,505526.37,708.8
1526868000,2018-05-21 02:00:00,ETH/USD,707.25,713.0,705.76,710.52,479005.26,673.87
1526882400,2018-05-21 06:00:00,ETH/USD,713.01,719.12,710.93,716.82,700991.93,980.9
1526896800,2018-05-21 10:00:00,ETH/USD,710.0,711.99,705.5,707.16,501932.74,708.67
1526911200,2018-05-21 14:00:00,ETH/USD,706.98,706.98,695.14,699.08,913803.85,1305.47
1526925600,2018-05-21 18:00:00,ETH/USD,694.74,694.81,687.8,688.54,432686.71,626.06
1526940000,2018-05-21 22:00:00,ETH/USD,695.6,697.71,693.99,697.37,89376.25,128.64
1526954400,2018-05-22 02:00:00,ETH/USD,687.07,690.9,682.95,688.02,880352.9,1279.51
1526968800,2018-05-22 06:00:00,ETH/USD,688.88,697.97,687.4,693.43,901981.99,1301.1
1526983200,2018-05-22 10:00:00,ETH/USD,684.98,692.29,684.66,689.5,1469311.5,2137.96
1526997600,2018-05-22 14:00:00,ETH/USD,683.82,685.67,679.0,680.94,564730.98,826.52
1527012000,2018-05-22 18:00:00,ETH/USD,674.24,674.67,670.0,671.7,420308.4,625.62
1527026400,2018-05-22 22:00:00,ETH/USD,648.99,653.99,637.93,639.68,1249102.34,1942.06
1527040800,2018-05-23 02:00:00,ETH/USD,630.0,636.64,628.0,633.98,1179373.32,1867.72
1527055200,2018-05-23 06:00:00,ETH/USD,638.99,642.54,637.84,641.81,213845.38,333.47
1527069600,2018-05-23 10:00:00,ETH/USD,615.85,627.24,615.83,620.8,785442.05,1265.14
1527084000,2018-05-23 14:00:00,ETH/USD,618.97,621.09,614.0,616.79,512503.14,830.87
1527098400,2018-05-23 18:00:00,ETH/USD,570.99,589.23,567.21,579.9,2742060.1,4747.74
1527112800,2018-05-23 22:00:00,ETH/USD,597.0,597.57,581.28,581.71,719520.26,1223.73
1527127200,2018-05-24 02:00:00,ETH/USD,591.49,595.93,588.17,590.14,423304.07,715.54
1527141600,2018-05-24 06:00:00,ETH/USD,603.9,604.39,593.45,599.7,1293123.48,2155.62
1527156000,2018-05-24 10:00:00,ETH/USD,564.06,569.6,559.28,563.77,1060938.47,1880.7
1527170400,2018-05-24 14:00:00,ETH/USD,581.98,591.54,576.65,585.79,780219.2,1335.61
1527184800,2018-05-24 18:00:00,ETH/USD,585.68,595.85,582.84,594.16,831771.0,1412.19
1527199200,2018-05-24 22:00:00,ETH/USD,589.0,595.18,583.0,594.07,826013.17,1405.23
1527213600,2018-05-25 02:00:00,ETH/USD,600.45,608.5,596.72,606.26,839282.18,1389.9
1527228000,2018-05-25 06:00:00,ETH/USD,612.22,616.18,591.73,595.99,871055.31,1437.6
1527242400,2018-05-25 10:00:00,ETH/USD,593.65,598.11,588.0,588.39,1241446.37,2097.19
1527256800,2018-05-25 14:00:00,ETH/USD,600.51,603.28,594.67,596.77,238655.71,397.48
1527271200,2018-05-25 18:00:00,ETH/USD,585.81,586.67,577.67,581.99,573685.59,986.14
1527285600,2018-05-25 22:00:00,ETH/USD,582.48,583.6,569.19,572.59,550618.86,962.64
1527300000,2018-05-26 02:00:00,ETH/USD,588.66,588.66,580.22,584.0,193506.83,331.99
1527314400,2018-05-26 06:00:00,ETH/USD,587.37,590.66,585.45,587.95,301313.46,511.57
1527328800,2018-05-26 10:00:00,ETH/USD,599.2,601.25,593.48,599.09,117518.71,196.98
1527343200,2018-05-26 14:00:00,ETH/USD,602.61,604.44,600.51,601.2,49528.96,82.24
1527357600,2018-05-26 18:00:00,ETH/USD,603.4,604.73,601.98,602.99,24493.51,40.62
1527372000,2018-05-26 22:00:00,ETH/USD,596.97,597.65,582.22,585.0,703860.71,1193.4
1527386400,2018-05-27 02:00:00,ETH/USD,583.0,587.26,582.22,584.37,680276.25,1163.27
1527400800,2018-05-27 06:00:00,ETH/USD,581.98,583.99,579.5,583.99,33438.32,57.35
1527415200,2018-05-27 10:00:00,ETH/USD,576.55,577.33,570.26,575.21,587552.73,1023.54
1527429600,2018-05-27 14:00:00,ETH/USD,565.72,573.99,563.76,570.73,523936.12,921.75
1527444000,2018-05-27 18:00:00,ETH/USD,570.82,572.15,556.92,559.64,444920.05,793.03
1527458400,2018-05-27 22:00:00,ETH/USD,565.84,569.88,564.06,569.88,48952.5,86.36
1527472800,2018-05-28 02:00:00,ETH/USD,570.5,572.24,568.9,571.9,403484.73,706.21
1527487200,2018-05-28 06:00:00,ETH/USD,519.85,537.1,519.85,531.99,923441.37,1743.97
